district_id,contacted,district_competitiveness
District 554,Not Contacted,0.596954301418684
District 554,Not Contacted,0.596954301418684
District 559,Not Contacted,0.885436893203884
District 559,Not Contacted,0.885436893203884
District 559,Not Contacted,0.885436893203884
District 559,Contacted,0.885436893203884
District 320,Not Contacted,0.657979600694444
District 553,Not Contacted,0.760463371737035
District 553,Not Contacted,0.760463371737035
District 553,Not Contacted,0.760463371737035
District 559,Contacted,0.885436893203884
District 559,Not Contacted,0.885436893203884
District 536,Not Contacted,0.682329108193753
District 536,Not Contacted,0.682329108193753
District 565,Not Contacted,0.725964283740721
District 565,Not Contacted,0.725964283740721
District 457,Contacted,0.705959132235125
District 457,Not Contacted,0.705959132235125
District 402,Not Contacted,0.757052616743503
District 402,Not Contacted,0.757052616743503
District 402,Not Contacted,0.757052616743503
District 402,Contacted,0.757052616743503
District 320,Not Contacted,0.657979600694444
District 538,Not Contacted,0.650125296535133
District 538,Not Contacted,0.650125296535133
District 538,Not Contacted,0.650125296535133
District 457,Contacted,0.705959132235125
District 457,Not Contacted,0.705959132235125
District 533,Not Contacted,0.67130558441745
District 533,Contacted,0.67130558441745
District 552,Not Contacted,0.530103957475895
District 552,Not Contacted,0.530103957475895
District 365,Not Contacted,0.751008979206049
District 365,Contacted,0.751008979206049
District 365,Not Contacted,0.751008979206049
District 365,Not Contacted,0.751008979206049
District 365,Contacted,0.751008979206049
District 525,Not Contacted,0.571256268949867
District 525,Not Contacted,0.571256268949867
District 525,Not Contacted,0.571256268949867
District 548,Not Contacted,0.643824268317265
District 533,Not Contacted,0.67130558441745
District 533,Not Contacted,0.67130558441745
District 541,Contacted,0.561352828057752
District 541,Not Contacted,0.561352828057752
District 541,Not Contacted,0.561352828057752
District 541,Not Contacted,0.561352828057752
District 344,Not Contacted,0.640081609302358
District 344,Not Contacted,0.640081609302358
District 448,Not Contacted,0.826402856452522
District 448,Contacted,0.826402856452522
District 448,Contacted,0.826402856452522
District 448,Contacted,0.826402856452522
District 514,Not Contacted,0.660166037671281
District 514,Not Contacted,0.660166037671281
District 513,Not Contacted,0.521591525469587
District 513,Contacted,0.521591525469587
District 513,Not Contacted,0.521591525469587
District 513,Contacted,0.521591525469587
District 509,Not Contacted,0.772650702754081
District 510,Not Contacted,0.508868133087569
District 510,Contacted,0.508868133087569
District 510,Not Contacted,0.508868133087569
District 330,Not Contacted,0.658679224376731
District 330,Not Contacted,0.658679224376731
District 502,Contacted,0.759400882317447
District 502,Contacted,0.759400882317447
District 502,Contacted,0.759400882317447
District 579,Not Contacted,0.614511884824695
District 579,Not Contacted,0.614511884824695
District 480,Not Contacted,0.503597061006794
District 486,Not Contacted,0.404274047630691
District 486,Not Contacted,0.404274047630691
District 486,Not Contacted,0.404274047630691
District 486,Not Contacted,0.404274047630691
District 486,Not Contacted,0.404274047630691
District 332,Contacted,0.703877382009426
District 534,Not Contacted,0.749268075220006
District 534,Not Contacted,0.749268075220006
District 534,Contacted,0.749268075220006
District 534,Not Contacted,0.749268075220006
District 482,Not Contacted,0.701126118434533
District 482,Not Contacted,0.701126118434533
District 523,Not Contacted,0.647398644292582
District 394,Contacted,0.606323898648131
District 394,Not Contacted,0.606323898648131
District 324,Contacted,0.596589942845313
District 340,Contacted,0.630979696184494
District 340,Contacted,0.630979696184494
District 340,Not Contacted,0.630979696184494
District 340,Not Contacted,0.630979696184494
District 340,Contacted,0.630979696184494
District 340,Not Contacted,0.630979696184494
District 575,Not Contacted,0.596215616745227
District 575,Contacted,0.596215616745227
District 575,Not Contacted,0.596215616745227
District 505,Not Contacted,0.566311988293594
District 328,Not Contacted,0.675713698268888
District 328,Not Contacted,0.675713698268888
District 328,Not Contacted,0.675713698268888
District 505,Not Contacted,0.566311988293594
District 505,Not Contacted,0.566311988293594
District 390,Contacted,0.668516710069444
District 390,Not Contacted,0.668516710069444
District 390,Contacted,0.668516710069444
District 390,Not Contacted,0.668516710069444
District 390,Not Contacted,0.668516710069444
District 493,Not Contacted,0.606900603535758
District 493,Not Contacted,0.606900603535758
District 493,Not Contacted,0.606900603535758
District 493,Not Contacted,0.606900603535758
District 493,Not Contacted,0.606900603535758
District 493,Not Contacted,0.606900603535758
District 503,Not Contacted,0.625854847645429
District 503,Contacted,0.625854847645429
District 503,Not Contacted,0.625854847645429
District 503,Contacted,0.625854847645429
District 503,Not Contacted,0.625854847645429
District 442,Contacted,0.729539518078242
District 442,Contacted,0.729539518078242
District 447,Contacted,0.775488111430588
District 447,Not Contacted,0.775488111430588
District 570,Not Contacted,0.710858787781865
District 570,Not Contacted,0.710858787781865
District 568,Not Contacted,0.462104
District 568,Not Contacted,0.462104
District 568,Not Contacted,0.462104
District 568,Not Contacted,0.462104
District 491,Contacted,0.629882754288387
District 491,Not Contacted,0.629882754288387
District 491,Contacted,0.629882754288387
District 491,Contacted,0.629882754288387
District 491,Not Contacted,0.629882754288387
District 500,Not Contacted,0.723017276031829
District 500,Not Contacted,0.723017276031829
District 500,Not Contacted,0.723017276031829
District 473,Contacted,0.640905338410536
District 473,Not Contacted,0.640905338410536
District 473,Not Contacted,0.640905338410536
District 336,Contacted,0.827297726059362
District 336,Not Contacted,0.827297726059362
District 336,Not Contacted,0.827297726059362
District 336,Not Contacted,0.827297726059362
District 354,Contacted,0.644163462486444
District 354,Not Contacted,0.644163462486444
District 354,Not Contacted,0.644163462486444
District 472,Not Contacted,0.623631636973064
District 472,Contacted,0.623631636973064
District 472,Not Contacted,0.623631636973064
District 336,Contacted,0.827297726059362
District 336,Not Contacted,0.827297726059362
District 336,Not Contacted,0.827297726059362
District 348,Not Contacted,0.611196351589543
District 391,Not Contacted,0.768129477292563
District 547,Not Contacted,0.674666587960484
District 547,Not Contacted,0.674666587960484
District 404,Not Contacted,0.499442615326731
District 404,Not Contacted,0.499442615326731
District 404,Not Contacted,0.499442615326731
District 345,Not Contacted,0.690688
District 345,Not Contacted,0.690688
District 345,Not Contacted,0.690688
District 345,Contacted,0.690688
District 345,Contacted,0.690688
District 544,Not Contacted,0.733948712086572
District 542,Not Contacted,0.579384242572165
District 542,Not Contacted,0.579384242572165
District 450,Not Contacted,0.653237194774102
District 450,Not Contacted,0.653237194774102
District 450,Contacted,0.653237194774102
District 450,Contacted,0.653237194774102
District 436,Contacted,0.719875346635323
